"","site","cultural_epoch","grid_square","level","plan","site_ref_and_shell_no","layer","hinge","age_readable","age","multiperiod"
"1","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.1","Level 1",7,TRUE,2,TRUE
"2","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.10","Level 1",6,FALSE,NA,TRUE
"3","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.11","Level 1",6,TRUE,1,TRUE
"4","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.12","Level 1",NA,FALSE,NA,TRUE
"5","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.13","Level 1",NA,FALSE,NA,TRUE
"6","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.2","Level 1",6,FALSE,NA,TRUE
"7","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.3","Level 1",7,FALSE,NA,TRUE
"8","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.4","Level 1",5,FALSE,NA,TRUE
"9","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.5","Level 1",6,FALSE,NA,TRUE
"10","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.6","Level 1",5,FALSE,NA,TRUE
"11","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.7","Level 1",7,FALSE,NA,TRUE
"12","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.8","Level 1",5,TRUE,1,TRUE
"13","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.1.9","Level 1",7,FALSE,NA,TRUE
"14","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.2.1","Level 2",15,TRUE,11,TRUE
"15","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.2.2","Level 2",6,TRUE,2,TRUE
"16","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.2.3","Level 2",6,TRUE,2,TRUE
"17","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.2.4","Level 2",6,FALSE,NA,TRUE
"18","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.2.5","Level 2",6,TRUE,5,TRUE
"19","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.2.6","Level 2",4,FALSE,NA,TRUE
"20","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.3.1","Level 3",9,TRUE,1,TRUE
"21","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.3.10","Level 3",6,TRUE,2,TRUE
"22","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.3.2","Level 3",7,TRUE,4,TRUE
"23","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.3.3","Level 3",10,TRUE,4,TRUE
"24","FHM 2911 Bjørnsholm","Funnel Beaker","D2",NA,NA,"B.N.3.4","Level 3",9,TRUE,3,TRUE
