Museum site prefix,Site name,Cultural epoch,Grid square,Level,Plan,Context/feature,Layer,Assigned finds/sample no.,Site ref. and shell no.,Hinge (mm),Season,Age_readable,Age,Reference
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.1,7,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.10,6,Winter/Spring,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.11,6,Winter/Spring,TRUE,1,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.12,,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.13,,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.2,6,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.3,7,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.4,5,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.5,6,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.6,5,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.7,7,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.8,5,Spring,TRUE,1,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 1,GAS (2911),B.N.1.9,7,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 2,Random,B.N.2.1,15,Winter/Spring,TRUE,11,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 2,Random,B.N.2.2,6,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 2,Random,B.N.2.3,6,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 2,Random,B.N.2.4,6,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 2,Random,B.N.2.5,6,Spring,TRUE,5,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 2,Random,B.N.2.6,4,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.1,9,Spring,TRUE,1,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.10,6,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.2,7,Winter/Spring,TRUE,4,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.3,10,Winter/Spring,TRUE,4,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.4,9,Winter/Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.5,8,Winter/Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.6,9,Winter/Spring,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.7,6,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.8,6,NA,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 3,Random,B.N.3.9,8,Winter/Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.1,8,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.2,13,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.3,5,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.4,8,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.5,5,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.6,6,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.7,5,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 4,Random,B.N.4.8,5,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.1,8,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.2,9,Winter/Spring,TRUE,4,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.3,7,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.4,7,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.5,10,Winter,TRUE,6,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.6,9,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.7,8,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 6,Random,B.N.6.8,7,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.1,10,Winter/Spring,TRUE,4,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.10,4,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.2,9,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.3,8,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.4,8,Winter/Spring,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.5,11,Summer,TRUE,4,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.6,5,Winter/Spring,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.7,8,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.8,5,NA,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Funnel Beaker,D2,,,,Level 7,Random,B.N.7.9,9,Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.1,8,Winter/Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.10,8,Winter/Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.11,6,Winter/Spring,TRUE,4,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.2,5,,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.3,6,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.4,7,Winter/Spring,TRUE,4,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.5,5,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.6,5,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.7,8,Spring,TRUE,5,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.8,7,Winter,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,1 (level or sample),ZGG (2911),B1.9,7,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,2 (level or sample),ZQL (2911),B2.1,5,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,2 (level or sample),ZQL (2911),B2.2,8,Winter/Spring,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,2 (level or sample),ZQL (2911),B2.3,9,Summer,TRUE,2,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,2 (level or sample),ZQL (2911),B2.4,9,Winter/Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,2 (level or sample),ZQL (2911),B2.5,9,Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,3 (level or sample),ZQQ (2911),B3.1,9,NA,FALSE,NA,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,3 (level or sample),ZQQ (2911),B3.10,8,Winter/Spring,TRUE,3,Robson 2015
FHM 2911 ,Bjørnsholm,Ertebølle,,,,,3 (level or sample),ZQQ (2911),B3.11.2,6,Winter/Spring,TRUE,2,Robson 2015
